code,name,section,enabled,surgical,min_quantity,max_quantity,diagnosis_required,sex,scope,stay,coverage,odontology,priority
961400,TAPONAMIENTO VAGINAL SOD,SECCION 01 PROCEDIMIENTOS NO QUIRURGICOS,AP,N,0,1,N,F,Z,Z,,0,0
961401,TAPONAMIENTO VAGINAL,SECCION 00 PROCEDIMIENTOS QUIRURGICOS,AP,S,1,1,S,Z,,,,0,0
961601,INSERCION DE DISPOSITIVO EN URETRA,SECCION 01 PROCEDIMIENTOS NO QUIRURGICOS,AP,N,0,1,N,Z,Z,Z,,0,0
962100,DILATACION DEL RECTO SOD,SECCION 01 PROCEDIMIENTOS NO QUIRURGICOS,AP,N,0,1,N,Z,Z,Z,,0,0
962101,DILATACION DEL RECTO,SECCION 00 PROCEDIMIENTOS QUIRURGICOS,AP,S,1,1,S,Z,,,,0,0
962200,DILATACION DEL ESFINTER ANAL SOD,SECCION 01 PROCEDIMIENTOS NO QUIRURGICOS,AP,N,0,1,N,Z,Z,Z,,0,0
962201,DILATACION DEL ESFINTER ANAL,SECCION 00 PROCEDIMIENTOS QUIRURGICOS,AP,S,1,1,S,Z,,,,0,0
962300,DILATACION INSTRUMENTAL O MANUAL DE LA VAGINA SOD,SECCION 01 PROCEDIMIENTOS NO QUIRURGICOS,AP,N,0,1,N,F,Z,Z,,0,0
962301,DILATACION INSTRUMENTAL O MANUAL DE LA VAGINA,SECCION 00 PROCEDIMIENTOS QUIRURGICOS,AP,S,1,1,S,Z,,,,0,0
962400,DILATACION Y MANIPULACION DE ESTOMA DE ENTEROSTOMIA SOD,SECCION 01 PROCEDIMIENTOS NO QUIRURGICOS,AP,N,0,1,N,Z,Z,Z,,0,0
962401,DILATACION Y MANIPULACION DE ESTOMA DE ENTEROSTOMIA,SECCION 00 PROCEDIMIENTOS QUIRURGICOS,AP,S,1,1,S,Z,,,,0,0
962600,REDUCCION MANUAL DE PROLAPSO RECTAL SOD,SECCION 01 PROCEDIMIENTOS NO QUIRURGICOS,AP,N,0,1,N,Z,Z,Z,,0,0
962601,REDUCCION MANUAL DE PROLAPSO RECTAL,SECCION 00 PROCEDIMIENTOS QUIRURGICOS,AP,S,1,1,S,Z,,,,0,0
962700,REDUCCION MANUAL DE HERNIA SOD,SECCION 01 PROCEDIMIENTOS NO QUIRURGICOS,AP,N,0,1,N,Z,Z,Z,,0,0
962701,REDUCCION MANUAL DE HERNIA,SECCION 00 PROCEDIMIENTOS QUIRURGICOS,AP,S,1,1,S,Z,,,,0,0
963100,LAVADO GASTRICO PARA HIPOTERMIA O CONGELACION GASTRICA SOD,SECCION 01 PROCEDIMIENTOS NO QUIRURGICOS,AP,N,0,1,N,Z,Z,Z,,0,0
963101,LAVADO GASTRICO PARA HIPOTERMIA O CONGELACION GASTRICA,SECCION 00 PROCEDIMIENTOS QUIRURGICOS,AP,S,1,1,S,Z,,,,0,0
963300,LAVADO GASTRICO DE LIMPIEZA SOD,SECCION 01 PROCEDIMIENTOS NO QUIRURGICOS,AP,N,0,1,N,Z,Z,Z,,0,0
963301,LAVADO GASTRICO DE LIMPIEZA,SECCION 00 PROCEDIMIENTOS QUIRURGICOS,AP,S,1,1,S,Z,,,,0,0
963800,EXTRACCION DIGITAL O MANUAL DE HECES IMPACTADAS SOD,SECCION 01 PROCEDIMIENTOS NO QUIRURGICOS,AP,N,0,1,N,Z,Z,Z,,0,0
